Name,Review stars,Brand,Price,Capacity(Kg),Access Location
"iFFALCON 7 Kg Fully-Automatic Front Load Washing Machine with In-built Heater (FWF70-G123061A03S, Silver, Honey Comb Crystal Drum, 16 Wash Program)",3.5,iFFALCON,16990,7,Front Load
"Samsung 8.0 Kg Semi-Automatic 5 Star Top Loading Washing Machine (WT80R4000RG/TL, Light Grey, Wine Red Lid (Opaque), Hexa Storm Pulsator)",4.3,Samsung,12990,8,Top Load
"Whirlpool 9 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE XL 9, Graphite Grey, 3D Scrub Technology)",4.1,Whirlpool,15990,9,Top Load
"Bosch 8 kg 5 Star Touch Control Fully Automatic Front Load with Heater (WAJ2426AIN, White)",4.4,Bosch,33490,8,Front Load
"Whirlpool 7.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine with In-Built Heater (360 BLOOMWASH PRO (540) H 7.5, Graphite, Hexa Bloom Impeller)",4.1,Whirlpool,22990,7.5,Top Load
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENATOR WSS 8014, Silver, Active Colour Protection, Hard Water Wash)",4.2,IFB,37000,8,Front Load
"IFB 7.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-RES 7.0KG AQUA, Light Grey, Hard Water Wash, Smart Sense)",4.1,IFB,19590,7,Top Load
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENATOR WSS 8014, Silver, Active Colour Protection, Hard Water Wash)",4.2,IFB,37000,8,Front Load
"AmazonBasics 7 kg Semi Automatic Washing Machine (with Heavy wash function, White/Blue color)",3.9,AmazonBasics,9990,7,Front Load
"Panasonic 6.7 kg Built-in Heater Fully-Automatic Top Loading Washing Machine (NA-F67BH8MRB,Middle free silver,Active Foam System) with Water Reuse",4.3,Panasonic,16990,6.7,Top Load
"AmazonBasics 7 Kg Fully Automatic Top Loading Washing Machine, Grey",3.8,AmazonBasics,14290,7,Top Load
"AmazonBasics 8.5 kg Top Load Washing Machine (Grey/Black, Full Metal body, LED Display)",4.0,AmazonBasics,16990,8.5,Top Load
"LG 8.0 Kg Inverter Fully-Automatic Top Loading Washing Machine (T80SJSF1Z, Middle Free Silver)",4.4,LG,23450,8,Top Load
"LG 8.5 kg 5 Star Semi-Automatic Top Load Washing Machine (P8535SKMZ, Middle Black, Roller Jet Pulsator)",4.4,LG,16250,8.5,Top Load
"Whirlpool 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine with In-Built Heater (STAINWASH PRO H 6.5, Shiny Grey)",4.2,Whirlpool,19980,6.5,Top Load
"Whirlpool 9.5 Kg 5 Star Inverter Fully Automatic Top Loading Washing Machine (360 BW PRO INV H 9.5 GRAPHITE, Graphite Grey, With Inbuilt Heater)",3.9,Whirlpool,24960,9.5,Top Load
DMR-DO-55A Semi-Automatic 5 kg Spin Dryer (Only Drying- No Washing),4.7,DMR,5799,5,Top Load
"Bosch 6Kg 5 Star Touch Control Fully Automaic Front Loading Washing Machine With Heater (WLJ 16061IN, White)",4.2,Bosch,26790,6,Front Load
"Bosch 8 kg 5 Star Inverter Touch Control Fully Automatic Front Loading Washing Machine with In- built Heater (WAJ2426MIN,White)",4.4,Bosch,34990,8,Front Load
"Samsung 8 Kg Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA80BG4441BGTL, Bubble Storm Technology, Light Gray)",4.0,Samsung,20990,8,Top Load
"IFB 6.5 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-REWS 6.5KG AQUA, White, 2X Power Dual Steam, Inbuilt Heater)",4.3,IFB,19990,6.5,Top Load
"ONIDA 8 kg 5 Star Fully Automatic Top Load Washing Machine (T80CMB, Black, Hexa Crystal Drum)",4.2,Onida,15790,8,Top Load
"DMR Portable Semi Automatic Top-Loading Mini Washing Machine 3 kg -With Dryer Basket (DMR 30-1208 (W2Yr), Blk)",3.8,DMR,5799,3,Top Load
Voltas Beko WTT140ABRT 14 kg Semi Automatic Washing Machine (Burgandy),4.3,Voltas Beko,17440,14,Top Load
"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL PLUS 6.5, Grey, In-Built Heater)",4.2,Whirlpool,17950,6.5,Top Load
"AmazonBasics 6 Kg Fully Automatic Top Loading Washing Machine, Grey",3.8,AmazonBasics,13290,6,Top Load
"Godrej 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 700 5.0 AP GPGR, Graphite Grey)",4.1,Godrej,13990,7,Top Load
"Electrolux 9kg 5 Star UltraMix with 40°C Vapour Wash EcoInverter Fully Automatic Front Load Washing Machine, Scandinavian Design, Woolmark Certified, No Detergent Residue, White, UltimateCare 500, EWF9024R5WB",5.0,ELECTROLUX,49880,9,Front Load
"Electrolux 8kg 5 Star UltraMix with 40°C Vapour Wash EcoInverter Fully Automatic Front Load Washing Machine, Scandinavian Design, Woolmark Certified, White, UltimateCare 500, EWF8024R5WB",5.0,ELECTROLUX,44880,8,Front Load
VOLTAS BEKO 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine WTT70ALIM (Burgundy),4.0,Voltas Beko,10900,7,Top Load
"Haier 6.5 Kg Semi-Automatic Top Loading Washing Machine with 1300 RPM, Rust Free Cabinet (HTW65-187BO, Burgundy)",4.0,Haier,10590,6.5,Top Load
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (DIVA PLUS BXS 6008, White & Black, Active Color Protection, Hard Water Wash)",4.2,IFB,22990,6,Front Load
Bosch 7 kg 5 Star 1000RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater White(WAJ2006EIN),4.4,Bosch,30990,7,Front Load
