Name,Review stars,Brand,Price,Capacity,Access Location
"LG 7 Kg 5 Star Inverter Touch Control Fully-Automatic Front Load Washing Machine with Heater (FHM1207SDL, Silver, 6 Motion Direct Drive)",4.3 out of 5 stars,LG,"29,990",Capacity 7 Kilograms,NaN
"Whirlpool 7.5 Kg 5 Star Royal Plus Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL PLUS 7.5, Grey, Hard Water Wash)",4.2 out of 5 stars,Whirlpool,"17,740",Capacity 7.5 Kilograms,Access Location Top Load
"Panasonic 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine (NA-F70LF2MRB, Light Grey, 12 Wash Program, Active Foam Wash Technology, Antibacterial Water Inlet)",4.4 out of 5 stars,Panasonic,"15,990",Capacity 7 Kilograms,NaN
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (DIVA AQUA BXS 6008, White & Black, Active Color Protection, Hard Water Wash)",4.2 out of 5 stars,IFB,"22,990",Capacity 6 Kilograms,NaN
"Samsung 9 Kg WiFi Enabled Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA90BG4542BDTL, Bubble Storm technology, Dark Gray)",3.7 out of 5 stars,Samsung,"24,790",Capacity 9 Kilograms,Access Location Top Load
"Haier HWM70-AE 7Kg Top Loading Washing Machine (Moonlight Grey, Quick Wash)",4.2 out of 5 stars,Haier,"14,490",Capacity 7 Kilograms,NaN
"LG 11 kg 5 Star Semi-Automatic Top Loading Washing Machine (P1155SKAZ, Middle Black, Roller Jet Pulsator), large",4.4 out of 5 stars,LG,"19,190",Capacity 11 Kilograms,NaN
"Bosch 6 kg 5 Star Inverter Fully Automatic Front Loading Washing Machine with In - built Heater (WLJ2016WIN, White )",4.4 out of 5 stars,Bosch,"27,990",Capacity 6 Kilograms,NaN
"Onida 9.0 kg Top Load Washer Only (W90W, Lava Red)",4.2 out of 5 stars,Onida,"6,290",Capacity 9 Kilograms,Access Location Top Load
"IFB 6.5 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-RSS 6.5KG AQUA, Light Grey, Hard Water Wash, Smart Sense)",4.4 out of 5 stars,IFB,"18,590",Capacity 6.5 Kilograms,NaN
"IFB 7.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-RES 7.0KG AQUA, Light Grey, Hard Water Wash, Smart Sense)",4.1 out of 5 stars,IFB,"19,590",Capacity 7 Kilograms,Access Location Top Load
"Godrej 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 700 AD 5.0 ROGR, Grey, Acu Wash Drum)",4.2 out of 5 stars,Godrej,"14,890",Capacity 7 Kilograms,Access Location Top Load
"White Westinghouse 10.5kg Ultra Smart dry Fully Automatic Front Load with In-Built Heater Washing Machine, Large (HDF1050/ WHITE/In Built Heater)",4.3 out of 5 stars,White Westinghouse (Trademark By Electrolux),"22,990",Capacity 10.5 Kilograms,NaN
"Samsung 8 Kg Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA80BG4441BGTL, Bubble Storm Technology, Light Gray)",4.0 out of 5 stars,Samsung,"20,990",Capacity 8 Kilograms,Access Location Top Load
"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (ELENA SXS 6510, Silver, Active Colour Protection, Hard Water Wash)",4.2 out of 5 stars,IFB,"26,899",Capacity 6.5 Kilograms,NaN
"IFB 5.5 kg Fully-automatic Dryer (TURBO DRY,white,Inbuilt Heater, Allergy Free Technology",3.9 out of 5 stars,IFB,"19,490",Capacity 5.5 Kilograms,Access Location Front Load
"Samsung 7 Kg WiFi Enabled Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA70BG4582BYTL, Hygiene Steam with in-built Heater, Lavender Gray)",4.2 out of 5 stars,Samsung,"22,290",Capacity 7 Kilograms,Access Location Top Load
Bosch 6.5 Kg 5 Star Fully Automatic Top Load Washing Machine WOE651D0IN (Dark Grey),4.0 out of 5 stars,Bosch,NaN,Capacity 6.5 Kilograms,Access Location Top Load
Bosch 8 kg 5 Star 1400RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater Silver  (WAJ28262IN),4.4 out of 5 stars,Bosch,"36,990",Capacity 8 Kilograms,Access Location Front Load
"Godrej 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 700 5.0 AP GPGR, Graphite Grey)",4.1 out of 5 stars,Godrej,"13,990",Capacity 7 Kilograms,Access Location Top Load
"LG 7 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T70SJMB1Z, Middle Black, Jet Spray+)",4.4 out of 5 stars,LG,"21,119",Capacity 7 Kilograms,NaN
"Bosch 6 kg 5 Star Fully Automatic Front Loading Washing Machine with In - built Heater (WLJ2016TIN, Luxe Silver )",4.5 out of 5 stars,Bosch,"28,490",Capacity 6 Kilograms,NaN
"Whirlpool 7 Kg 5 Star Royal Plus Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL PLUS 7.0, Grey, Hard Water Wash)",4.3 out of 5 stars,Whirlpool,"16,990",Capacity 7 Kilograms,NaN
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (DIVA AQUA BXS 6008, White & Black, Active Color Protection, Hard Water Wash)",4.2 out of 5 stars,IFB,"22,990",Capacity 6 Kilograms,NaN
"LG 6 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHM1006SDW, White, 6 Motion Direct Drive)",4.4 out of 5 stars,LG,"24,990",Capacity 6 Kilograms,NaN
"LG 7 Kg 5 Star Inverter Touch Control Fully-Automatic Front Load Washing Machine with Heater (FHM1207SDL, Silver, 6 Motion Direct Drive)",4.3 out of 5 stars,LG,"29,990",Capacity 7 Kilograms,NaN
"Whirlpool 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 7.0, Grey Dazzle, TurboScrub Technology)",4.3 out of 5 stars,Whirlpool,"10,240",Capacity 7 Kilograms,Access Location Top Load
"Bosch 7 kg 5 Star Inverter Touch Control Fully Automatic Front Loading Washing Machine with In - built Heater (WAJ2416SIN, Silver)",4.5 out of 5 stars,Bosch,"32,790",Capacity 7 Kilograms,Access Location Front Load
"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (ELENA SXS 6510, Silver, Active Colour Protection, Hard Water Wash)",4.2 out of 5 stars,IFB,"26,899",Capacity 6.5 Kilograms,NaN
Hilton 3 kg Single-Tub Washing Machine with Spin Dryer Portable Single Tub Washer - The Laundry Alternative Portable Clothes Washer Travel Washing Machine With Spin Dryer (BLUE),3.8 out of 5 stars,Hilton,"4,989",Capacity 3 Kilograms,NaN
"AmazonBasics 6 Kg Fully Automatic Top Loading Washing Machine, Grey",3.8 out of 5 stars,AmazonBasics,"13,290",Capacity 6 Kilograms,Access Location Top Load
"Marvella Mini Foldable Top Load Washing Machine Portable, Small Automatic Cleaning Washer with Capacity of 2 kg, Multicolour",3.0 out of 5 stars,Marvella,"4,299",NaN,Access Location Top Load
Sansui 6.5 kg Fully Automatic Top Load Washing Machine JSP65FTL- 2024B (Ash Grey) With Fuzzy Logic,3.3 out of 5 stars,SANSUI,"12,490",Capacity 6.5 Kilograms,Access Location Top Load
"LG 7 kg Inverter Fully-Automatic Top Loading Washing Machine (T70SPSF2Z, Middle Free Silver)",4.4 out of 5 stars,LG,NaN,Capacity 7 Kilograms,NaN
"LG 10 Kg 5 Star Smart Inverter Fully-Automatic Top Load Washing Machine (T10SJMB1Z, Middle Black, TurboDrum | Jet Spray+)",4.3 out of 5 stars,LG,"27,990",Capacity 10 Kilograms,Access Location Top Load
"IFB 5.5 kg Fully-automatic Dryer (TURBO DRY EX, Silver, Wall Mountable,Anti crease)",3.8 out of 5 stars,IFB,"20,690",Capacity 5.5 Kilograms,Access Location Front Load
"Samsung 8 Kg Inverter 5 star Fully-Automatic Top Load Ecobubble Washing Machine (WA80BG4545BYTL, Bubble Storm & Super Speed technology, Lavender Gray)",4.0 out of 5 stars,Samsung,"21,990",Capacity 8 Kilograms,Access Location Top Load
"Intex 6.5 KG Semi Automatic Top Loading Washing Machine with Air Dry Technology (Transparent Lid, Blue and White, SA65NBPT)",NaN,INTEX,"7,890",Capacity 6.5 Kilograms,NaN
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (Senator VSS 8012, White & Black, Active Color Protection, Hard Water Wash)",4.2 out of 5 stars,IFB,"34,490",Capacity 8 Kilograms,Access Location Front Load
Whirlpool 7.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE 7.5 TRB DRY MAX GREY DAZZELE(5YR)),4.5 out of 5 stars,Whirlpool,"12,740",Capacity 7.5 Kilograms,Access Location Top Load
"LG 8 Kg 5 Star Inverter Touch panel Fully-Automatic Front Load Washing Machine with In-Built Heater (FHM1408BDM, Middle Black, Steam for Hygiene Wash)",4.4 out of 5 stars,LG,"34,990",Capacity 8 Kilograms,Access Location Front Load
"IFB 7 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (NEO DIVA BXS 7010, White & Black, Active Color Protection, Hard Water Wash)",4.3 out of 5 stars,IFB,"29,990",Capacity 7 Kilograms,NaN
"Godrej 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 650 AD 5.0 ROGR, Grey, Acu Wash Drum)",4.2 out of 5 stars,Godrej,"14,790",Capacity 6.5 Kilograms,NaN
"Hisense 6.0 Kg Fully-Automatic Front Loading Washing Machine (WFVB6010MS, Silver, Steam Wash, Built in Heater ), Silver",3.7 out of 5 stars,Hisense,"19,990",Capacity 6 Kilograms,NaN
